j,beta_raw,se_raw,beta_anchor_units,se_anchor_units,n_train_positive,fit
Maize,1.1823380879087564,0.22302016164425478,0.8438005366521724,0.1591630465128,1868,fine
Maize (flour/dough),1.298730816188029,0.26597866479802273,0.9268666643434255,0.18982128918096716,1589,fine
Mango,1.1702044613610925,0.3720705866900264,0.8351411179147071,0.2655360289346962,527,fine
Margarine,2.7451940586769963,0.4785306743416616,1.9591656934803625,0.34151351795509516,482,fine
Milk (powder),2.1369260504094068,0.3033625521287652,1.5250623882977004,0.21650108958189884,913,fine
"Milk (tinned, condensed/unsweetened)",1.742558790494705,0.1715418125427382,1.2436138678134712,0.12242443592244259,1856,fine
Oil (coconut),1.3971099567411247,0.22711483893088655,0.99707701487092,0.16208529940070998,1460,fine
Oil (groundnut),1.1391625344133491,0.38050891364839434,0.8129873914255671,0.271558219109176,575,fine
Oil (palm kernel),1.2503795532128867,0.29328491133920825,0.8923597647827441,0.20930896848440766,1098,fine
Oil (palm),1.7069354367558323,0.12474175217024007,1.2181905093768184,0.08902458484641473,4112,fine
Orange,1.997341500213962,0.205905241673808,1.425444927295837,0.14694862256459976,1916,fine
Other Condiments & Spices,0.8255607015244556,0.10041242233835233,0.5891788229688142,0.07166144499794286,5075,fine
Other Drinks,1.287433827217653,0.321172835359956,0.9188043296751603,0.22921177420087033,834,fine
Other Fish,1.3614991416921285,0.2150557985703884,0.9716626049350007,0.15347911067029685,985,fine
Other Flours,1.8318973009091393,0.2671004448113481,1.3073721817867099,0.19062187116925772,1378,fine
Other Fruits,1.6772176584720555,0.40237317002760076,1.1969817895356825,0.2871621072482332,606,fine
Other Miscellaneous Food Items,1.7339146759463195,0.26668714150055306,1.237444812981015,0.19032690853630574,1152,fine
Other Oils,1.7775159324205683,0.2040141762725666,1.2685617701254417,0.14559902381891934,1833,fine
Other Prepared Meals,1.6275245823724867,0.1666749144300581,1.1615172767118773,0.11895107133974987,3406,fine
Other Pulses,1.525066239277807,0.3664099519497691,1.0883957171749616,0.2614961974512418,450,fine
Palm Nut,1.6396570496031684,0.12858758309445495,1.1701758680783039,0.09176924327441631,2717,fine
Pepper (dried),1.506626302504334,0.09323669676660233,1.0752356670129903,0.06654033695766916,5271,fine
Pineapple,1.5216984406384317,0.2912948176582324,1.0859922165787257,0.20788869611631905,726,fine
Plantain,1.758351255468699,0.15618099053106763,1.2548844938352433,0.11146186101310211,2687,fine
Rice,1.9059043987047726,0.11745187167577299,1.3601889094846884,0.08382200773563132,4628,fine
Salt,1.4012056600482283,0.1611761818269258,1.0,0.11502678473435388,3112,fine
Shea Butter,1.1233588059564747,0.22488780762414742,0.8017087269814551,0.1604959314940299,2011,fine
Small Bean,1.561231693542766,0.17517193220257016,1.1142059570962835,0.12501514745275927,2047,fine
Soft Drinks,1.585154886641135,0.40886071385442774,1.1312792488909695,0.29179207985810957,474,fine
Soup,1.6945685753245865,0.18242148221833607,1.2093646376408878,0.13018894186600508,3779,fine
Sugar,1.7529752582952145,0.24062340055856007,1.2510477999602703,0.17172596958413516,1305,fine
Tea,2.3795206924595096,0.203955797273376,1.6981951759869487,0.145557360413714,2441,fine
Wine,1.2086470824181197,0.2629210491321876,0.8625765059902192,0.18763915721203844,711,fine
Yam,1.603295462026933,0.14180243629599248,1.1442256534788398,0.10120030223908157,3086,fine
