country,j,item_class,farmgate_form,n_gap_cells,pairs
Ethiopia,Haricot Beans,pulses & oilseeds,same_good,170,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Horsebeans,pulses & oilseeds,same_good,624,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Lentils,pulses & oilseeds,same_good,737,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Linseed,pulses & oilseeds,same_good,75,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Niger Seed,pulses & oilseeds,same_good,53,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Other pulse or nut,pulses & oilseeds,same_good,16,unit_value_vs_community_price
Ethiopia,Other seed,pulses & oilseeds,same_good,4,unit_value_vs_community_price
Ethiopia,Sesame,pulses & oilseeds,same_good,4,unit_value_vs_crop_sale_price
Ethiopia,Boye/Yam,roots & tubers,same_good,3,unit_value_vs_community_price
Ethiopia,Bula,roots & tubers,processed,17,unit_value_vs_community_price
Ethiopia,Cassava,roots & tubers,same_good,4,unit_value_vs_community_price
Ethiopia,Godere,roots & tubers,same_good,11,unit_value_vs_community_price
Ethiopia,Kocho,roots & tubers,processed,58,unit_value_vs_community_price
Ethiopia,Other tuber or stem,roots & tubers,same_good,7,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Potato,roots & tubers,same_good,1436,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Sweet potato,roots & tubers,same_good,25,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Barley,staple grains & flours,processed,165,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Maize,staple grains & flours,same_good,765,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Millet,staple grains & flours,same_good,64,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Other cereal,staple grains & flours,same_good,8,unit_value_vs_community_price
Ethiopia,Rice,staple grains & flours,same_good,3,unit_value_vs_crop_sale_price
Ethiopia,Sorghum,staple grains & flours,same_good,391,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Teff,staple grains & flours,same_good,1096,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Vetch,staple grains & flours,same_good,1,unit_value_vs_crop_sale_price
Ethiopia,Wheat,staple grains & flours,processed,697,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
GhanaLSS,Beef,animal products,same_good,9,unit_value_vs_community_price
GhanaLSS,Beef (leg),animal products,same_good,5,unit_value_vs_community_price
GhanaLSS,Chicken,animal products,same_good,15,community_price_vs_own_consumption_valuation
GhanaLSS,Chicken (broiler),animal products,same_good,9,unit_value_vs_community_price
GhanaLSS,Chicken (live),animal products,same_good,17,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Chicken (thigh),animal products,same_good,6,unit_value_vs_community_price
GhanaLSS,Chicken (wing),animal products,same_good,7,unit_value_vs_community_price
GhanaLSS,Egg,animal products,same_good,47,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Fish (canned),animal products,processed,5,unit_value_vs_community_price
GhanaLSS,Fish (dried),animal products,processed,1,unit_value_vs_community_price
GhanaLSS,Fish (fresh and frozen),animal products,same_good,1,community_price_vs_own_consumption_valuation
GhanaLSS,Fish (salted),animal products,processed,3,unit_value_vs_community_price
GhanaLSS,"Fish (smoked, river)",animal products,processed,2,unit_value_vs_community_price
GhanaLSS,Goat,animal products,same_good,28,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Guineafowl,animal products,same_good,7,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Herring (smoked),animal products,processed,2,unit_value_vs_community_price
GhanaLSS,Honey,animal products,same_good,3,unit_value_vs_community_price
GhanaLSS,Ice Cream,animal products,processed,8,unit_value_vs_community_price
GhanaLSS,Mackerel (processed),animal products,processed,5,unit_value_vs_community_price
GhanaLSS,Margarine,animal products,processed,3,unit_value_vs_community_price
GhanaLSS,Milk (evaporated),animal products,processed,2,unit_value_vs_community_price
GhanaLSS,Milk (fresh),animal products,same_good,4,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Milk (powdered),animal products,processed,8,unit_value_vs_community_price
GhanaLSS,"Milk (tinned, condensed)",animal products,processed,1,unit_value_vs_community_price
GhanaLSS,Other Fish,animal products,same_good,16,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Other Meat,animal products,same_good,17,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Other Milk Products,animal products,processed,9,unit_value_vs_community_price
GhanaLSS,Pork,animal products,same_good,7,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Pork (feet),animal products,same_good,1,unit_value_vs_community_price
GhanaLSS,Sausage (beef),animal products,processed,2,unit_value_vs_community_price
GhanaLSS,Tuna (processed),animal products,processed,1,unit_value_vs_community_price
GhanaLSS,Yoghurt,animal products,processed,10,unit_value_vs_community_price
GhanaLSS,Apple,fresh produce,same_good,2,unit_value_vs_community_price
GhanaLSS,Avocado,fresh produce,same_good,9,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Banana,fresh produce,same_good,12,community_price_vs_own_consumption_valuation;unit_value_vs_own_consumption_valuation
GhanaLSS,Carrot,fresh produce,same_good,1,unit_value_vs_community_price
GhanaLSS,Cocoyam Leaves,fresh produce,same_good,1,unit_value_vs_community_price
GhanaLSS,Dawadawa,fresh produce,same_good,4,unit_value_vs_own_consumption_valuation
GhanaLSS,Eggplant,fresh produce,same_good,7,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Eggplant/Cucumber,fresh produce,same_good,1,community_price_vs_own_consumption_valuation
GhanaLSS,Garlic,fresh produce,same_good,3,unit_value_vs_community_price
GhanaLSS,Mango,fresh produce,same_good,9,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Okra,fresh produce,same_good,35,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Onion,fresh produce,same_good,11,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Orange,fresh produce,same_good,12,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Other Fruits,fresh produce,same_good,2,unit_value_vs_own_consumption_valuation
GhanaLSS,Other Vegetables,fresh produce,same_good,13,unit_value_vs_own_consumption_valuation
GhanaLSS,Pawpaw,fresh produce,same_good,7,unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Pepper,fresh produce,same_good,12,community_price_vs_own_consumption_valuation
GhanaLSS,"Pepper (dried, red)",fresh produce,processed,2,unit_value_vs_community_price
GhanaLSS,Pepper (fresh),fresh produce,same_good,23,unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Pepper (powder),fresh produce,processed,6,unit_value_vs_community_price
GhanaLSS,Pineapple,fresh produce,same_good,8,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Tomato,fresh produce,same_good,1,community_price_vs_own_consumption_valuation
GhanaLSS,Tomato (fresh),fresh produce,same_good,15,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Tomato (paste),fresh produce,processed,13,unit_value_vs_community_price
GhanaLSS,Watermelon,fresh produce,same_good,4,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Akpeteshie,processed & beverages,n_a,11,unit_value_vs_community_price
GhanaLSS,Beer,processed & beverages,n_a,15,unit_value_vs_community_price
GhanaLSS,Bitters,processed & beverages,n_a,6,unit_value_vs_community_price
GhanaLSS,Chewing Gum,processed & beverages,n_a,21,unit_value_vs_community_price
GhanaLSS,Chocolate,processed & beverages,processed,1,unit_value_vs_community_price
GhanaLSS,Cigarette,processed & beverages,n_a,10,unit_value_vs_community_price
GhanaLSS,Cocoa (milk powder beverages),processed & beverages,processed,10,unit_value_vs_community_price
GhanaLSS,Cocoa Powder,processed & beverages,processed,1,unit_value_vs_community_price
GhanaLSS,Coffee,processed & beverages,processed,1,unit_value_vs_community_price
GhanaLSS,Condiment,processed & beverages,processed,14,unit_value_vs_community_price
GhanaLSS,Gin,processed & beverages,n_a,5,unit_value_vs_community_price
GhanaLSS,Juice,processed & beverages,n_a,7,unit_value_vs_community_price
GhanaLSS,Malt Drinks (bottle),processed & beverages,n_a,4,unit_value_vs_community_price
GhanaLSS,Malt Drinks (canned),processed & beverages,n_a,7,unit_value_vs_community_price
GhanaLSS,Oil (coconut),processed & beverages,processed,7,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Oil (groundnut),processed & beverages,processed,7,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Oil (palm kernel),processed & beverages,processed,18,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Oil (palm),processed & beverages,processed,35,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Oil (vegetable),processed & beverages,processed,25,unit_value_vs_community_price
GhanaLSS,Other Beverages,processed & beverages,n_a,1,community_price_vs_own_consumption_valuation
GhanaLSS,Other Oils,processed & beverages,processed,1,unit_value_vs_own_consumption_valuation
GhanaLSS,Salt,processed & beverages,processed,6,unit_value_vs_community_price
GhanaLSS,Soft Drinks,processed & beverages,n_a,8,unit_value_vs_community_price
GhanaLSS,Sugar (cubed),processed & beverages,processed,1,unit_value_vs_community_price
GhanaLSS,Sugar (granulated),processed & beverages,processed,3,unit_value_vs_community_price
GhanaLSS,Tea,processed & beverages,processed,16,unit_value_vs_community_price
GhanaLSS,Water,processed & beverages,n_a,15,unit_value_vs_community_price
GhanaLSS,Whisky,processed & beverages,n_a,1,unit_value_vs_community_price
GhanaLSS,Wine,processed & beverages,n_a,3,unit_value_vs_community_price
GhanaLSS,Coconut (fresh),pulses & oilseeds,same_good,13,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Cowpea,pulses & oilseeds,same_good,17,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Groundnut,pulses & oilseeds,same_good,15,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Kola Nut,pulses & oilseeds,same_good,1,unit_value_vs_community_price
GhanaLSS,Palm Nut,pulses & oilseeds,same_good,28,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Shea Butter,pulses & oilseeds,processed,14,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Snail,pulses & oilseeds,same_good,3,unit_value_vs_own_consumption_valuation
GhanaLSS,Cassava,roots & tubers,same_good,2,community_price_vs_own_consumption_valuation
GhanaLSS,Cassava (dough),roots & tubers,processed,17,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Cassava (dried),roots & tubers,processed,3,unit_value_vs_community_price
GhanaLSS,Cassava (flour),roots & tubers,processed,1,community_price_vs_own_consumption_valuation
GhanaLSS,Cassava (fresh),roots & tubers,same_good,42,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,"Cassava (yellow, flour)",roots & tubers,processed,14,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Cocoyam,roots & tubers,same_good,15,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Plantain,roots & tubers,same_good,36,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Yam,roots & tubers,same_good,15,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Biscuit,staple grains & flours,n_a,4,unit_value_vs_community_price
GhanaLSS,Bread,staple grains & flours,n_a,10,unit_value_vs_community_price
GhanaLSS,Cerelac (Baby food),staple grains & flours,n_a,8,unit_value_vs_community_price
GhanaLSS,Corflake,staple grains & flours,n_a,1,unit_value_vs_community_price
GhanaLSS,Guinea corn/sorghum,staple grains & flours,same_good,4,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Instant Noodle,staple grains & flours,n_a,2,unit_value_vs_community_price
GhanaLSS,Kapla,staple grains & flours,n_a,7,unit_value_vs_community_price
GhanaLSS,Macaroni,staple grains & flours,n_a,2,unit_value_vs_community_price
GhanaLSS,Maize (cob),staple grains & flours,same_good,1,community_price_vs_own_consumption_valuation
GhanaLSS,Maize (flour/dough),staple grains & flours,processed,24,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Maize (grain),staple grains & flours,same_good,2,unit_value_vs_community_price
GhanaLSS,Millet,staple grains & flours,same_good,5,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Millet (flour),staple grains & flours,processed,4,unit_value_vs_own_consumption_valuation
GhanaLSS,Rice (imported),staple grains & flours,processed,10,unit_value_vs_community_price
GhanaLSS,Rice (local),staple grains & flours,same_good,25,community_price_vs_own_consumption_valuation;unit_value_vs_community_price;unit_value_vs_own_consumption_valuation
GhanaLSS,Spaghetti,staple grains & flours,n_a,2,unit_value_vs_community_price
GhanaLSS,Sugar Bread,staple grains & flours,n_a,2,unit_value_vs_community_price
GhanaLSS,Wheat Flour,staple grains & flours,processed,1,unit_value_vs_community_price
GhanaLSS,White Oats,staple grains & flours,n_a,1,unit_value_vs_community_price
Malawi,Beef,animal products,same_good,50,unit_value_vs_community_price
Malawi,Chicken,animal products,same_good,27,unit_value_vs_community_price
Malawi,Eggs,animal products,same_good,196,unit_value_vs_community_price
Malawi,Fresh Milk,animal products,same_good,54,unit_value_vs_community_price
Malawi,Sun Dried Fish,animal products,processed,7,unit_value_vs_community_price
Malawi,Banana,fresh produce,same_good,27,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Malawi,Cabbage,fresh produce,same_good,64,unit_value_vs_community_price
Malawi,Nkwani,fresh produce,same_good,1,unit_value_vs_crop_sale_price
Malawi,Onion,fresh produce,same_good,1,unit_value_vs_crop_sale_price
Malawi,Papaya,fresh produce,same_good,2,unit_value_vs_crop_sale_price
Malawi,Tomato,fresh produce,same_good,306,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Malawi,Cooking Oil,processed & beverages,processed,445,unit_value_vs_community_price
Malawi,Salt,processed & beverages,processed,225,unit_value_vs_community_price
Malawi,Sugar,processed & beverages,processed,790,unit_value_vs_community_price
Malawi,Tea,processed & beverages,processed,274,unit_value_vs_community_price
Malawi,Beans,pulses & oilseeds,same_good,276,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Malawi,Ground Bean,pulses & oilseeds,same_good,1,unit_value_vs_crop_sale_price
Malawi,Groundnut,pulses & oilseeds,processed,8,unit_value_vs_crop_sale_price
Malawi,Pigeon Pea (Nandolo),pulses & oilseeds,same_good,65,unit_value_vs_crop_sale_price
Malawi,Cassava Tubers,roots & tubers,same_good,1,unit_value_vs_crop_sale_price
Malawi,Irish Potato,roots & tubers,same_good,6,unit_value_vs_crop_sale_price
Malawi,Bread,staple grains & flours,n_a,77,unit_value_vs_community_price
Malawi,Chips (Vendor),staple grains & flours,n_a,31,unit_value_vs_community_price
Malawi,Finger Millet,staple grains & flours,same_good,3,unit_value_vs_crop_sale_price
Malawi,Maize Grain (Not As Ufa),staple grains & flours,same_good,98,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Malawi,Maize Ufa Mgaiwa (Normal Flour),staple grains & flours,processed,66,unit_value_vs_community_price
Malawi,"Mandazi, Doughnut (Vendor)",staple grains & flours,n_a,122,unit_value_vs_community_price
Malawi,Pearl Millet,staple grains & flours,same_good,1,unit_value_vs_crop_sale_price
Malawi,Rice,staple grains & flours,processed,425,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Malawi,Sorghum,staple grains & flours,same_good,6,unit_value_vs_crop_sale_price
Mali,Lait caillé,animal products,processed,17,unit_value_vs_community_price
Mali,Lait frais,animal products,same_good,16,unit_value_vs_community_price
Mali,Viande de bœuf,animal products,same_good,64,unit_value_vs_community_price
Mali,Viande de mouton,animal products,same_good,18,unit_value_vs_community_price
Mali,Viande de poulet,animal products,same_good,15,unit_value_vs_community_price
Mali,Concentré de tomate,fresh produce,processed,36,unit_value_vs_community_price
Mali,Feuilles d'oseille,fresh produce,same_good,14,unit_value_vs_community_price
Mali,Feuilles de baobab,fresh produce,same_good,12,unit_value_vs_community_price
Mali,Gombo,fresh produce,same_good,75,unit_value_vs_community_price
Mali,Oignon,fresh produce,same_good,86,unit_value_vs_community_price
Mali,Piment,fresh produce,same_good,42,unit_value_vs_community_price
Mali,Tomate fraîche,fresh produce,same_good,35,unit_value_vs_community_price
Mali,Tomate séchée,fresh produce,processed,18,unit_value_vs_community_price
Mali,Boissons gazeuses,processed & beverages,n_a,18,unit_value_vs_community_price
Mali,Cube alimentaire,processed & beverages,processed,60,unit_value_vs_community_price
Mali,Huile de coton,processed & beverages,processed,16,unit_value_vs_community_price
Mali,Huile de palme,processed & beverages,processed,30,unit_value_vs_community_price
Mali,Sel,processed & beverages,processed,117,unit_value_vs_community_price
Mali,Sucre,processed & beverages,processed,56,unit_value_vs_community_price
Mali,Arachide,pulses & oilseeds,same_good,29,unit_value_vs_community_price
Mali,Beurre de karité,pulses & oilseeds,processed,20,unit_value_vs_community_price
Mali,Haricots secs,pulses & oilseeds,same_good,18,unit_value_vs_community_price
Mali,Pâte d'arachide,pulses & oilseeds,processed,66,unit_value_vs_community_price
Mali,Igname,roots & tubers,same_good,19,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Mali,Patate douce,roots & tubers,same_good,2,unit_value_vs_crop_sale_price
Mali,Plantain,roots & tubers,same_good,15,unit_value_vs_community_price
Mali,Blé,staple grains & flours,same_good,2,unit_value_vs_community_price
Mali,Farine de blé,staple grains & flours,processed,14,unit_value_vs_community_price
Mali,Farine de maïs,staple grains & flours,processed,4,unit_value_vs_community_price
Mali,Farine de mil,staple grains & flours,processed,6,unit_value_vs_community_price
Mali,Fonio,staple grains & flours,same_good,12,unit_value_vs_community_price
Mali,Maïs,staple grains & flours,same_good,12,unit_value_vs_community_price
Mali,Mil,staple grains & flours,same_good,17,unit_value_vs_community_price
Mali,Pain,staple grains & flours,n_a,10,unit_value_vs_community_price
Mali,Pâtes alimentaires,staple grains & flours,n_a,29,unit_value_vs_community_price
Mali,Riz,staple grains & flours,same_good,35,unit_value_vs_community_price
Mali,Sorgho,staple grains & flours,same_good,21,unit_value_vs_community_price
Niger,Gombo frais,fresh produce,same_good,1,unit_value_vs_crop_sale_price
Niger,Oignon frais,fresh produce,same_good,1,community_price_vs_crop_sale_price
Niger,Tomate fraîche,fresh produce,same_good,1,unit_value_vs_crop_sale_price
Niger,Niébé/Haricots secs,pulses & oilseeds,same_good,67,community_price_vs_crop_sale_price;unit_value_vs_crop_sale_price
Niger,Sésame,pulses & oilseeds,same_good,1,unit_value_vs_crop_sale_price
Niger,Mil,staple grains & flours,same_good,5,community_price_vs_crop_sale_price;unit_value_vs_crop_sale_price
Niger,Sorgho,staple grains & flours,same_good,3,community_price_vs_crop_sale_price;unit_value_vs_crop_sale_price
Nigeria,Baby milk powder,animal products,processed,1,unit_value_vs_community_price
Nigeria,Beef,animal products,same_good,116,unit_value_vs_community_price
Nigeria,Butter/Margarine,animal products,processed,3,unit_value_vs_community_price
Nigeria,Cheese (wara),animal products,processed,1,unit_value_vs_community_price
Nigeria,Chicken,animal products,same_good,22,unit_value_vs_community_price
Nigeria,Duck,animal products,same_good,1,unit_value_vs_community_price
Nigeria,Fish--dried,animal products,processed,15,unit_value_vs_community_price
Nigeria,Fish--fresh,animal products,same_good,34,unit_value_vs_community_price
Nigeria,Fish--frozen,animal products,same_good,31,unit_value_vs_community_price
Nigeria,Fish--smoked,animal products,processed,10,unit_value_vs_community_price
Nigeria,Fresh milk,animal products,same_good,19,unit_value_vs_community_price
Nigeria,Goat,animal products,same_good,40,unit_value_vs_community_price
Nigeria,Honey,animal products,same_good,3,unit_value_vs_community_price
Nigeria,Milk powder,animal products,processed,9,unit_value_vs_community_price
Nigeria,Milk tinned (unsweetened),animal products,processed,12,unit_value_vs_community_price
Nigeria,Mutton,animal products,same_good,16,unit_value_vs_community_price
Nigeria,Other domestic poultry,animal products,same_good,1,unit_value_vs_community_price
Nigeria,Other meat (excl. poultry),animal products,same_good,2,unit_value_vs_community_price
Nigeria,Other milk products,animal products,processed,1,unit_value_vs_community_price
Nigeria,Pork,animal products,same_good,6,unit_value_vs_community_price
Nigeria,"Seafood (lobster, crab, prawns, etc)",animal products,same_good,3,unit_value_vs_community_price
Nigeria,Wild game meat,animal products,same_good,5,unit_value_vs_community_price
Nigeria,Bananas,fresh produce,same_good,4,community_price_vs_crop_sale_price;unit_value_vs_crop_sale_price
Nigeria,Dry Pepper,fresh produce,processed,5,unit_value_vs_community_price
Nigeria,Fresh Pepper,fresh produce,same_good,31,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Garden eggs/egg plant,fresh produce,same_good,17,unit_value_vs_community_price
Nigeria,Ground Pepper,fresh produce,processed,1,unit_value_vs_community_price
Nigeria,"Leaves (Cocoyam, Spinach, etc.)",fresh produce,same_good,2,unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Okra--dried,fresh produce,processed,15,unit_value_vs_community_price
Nigeria,Okra--fresh,fresh produce,same_good,39,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Onions,fresh produce,same_good,25,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Orange/tangerine,fresh produce,same_good,1,unit_value_vs_crop_sale_price
Nigeria,Other vegetables (fresh or canned),fresh produce,same_good,7,unit_value_vs_community_price
Nigeria,Tomato puree (canned),fresh produce,processed,12,unit_value_vs_community_price
Nigeria,Tomatoes,fresh produce,same_good,60,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Unground Ogbono,fresh produce,processed,1,unit_value_vs_community_price
Nigeria,Watermelon,fresh produce,same_good,1,unit_value_vs_community_price
Nigeria,Beer (local and imported),processed & beverages,n_a,7,unit_value_vs_community_price
Nigeria,Bottled water,processed & beverages,n_a,2,unit_value_vs_community_price
Nigeria,Chocolate drinks (including Milo),processed & beverages,processed,6,unit_value_vs_community_price
Nigeria,Coffee,processed & beverages,processed,1,unit_value_vs_community_price
Nigeria,"Condiments (salt, spices, pepper, etc)",processed & beverages,processed,10,unit_value_vs_community_price
Nigeria,Fruit juice canned/Pack,processed & beverages,n_a,1,unit_value_vs_community_price
Nigeria,Gin,processed & beverages,n_a,1,unit_value_vs_community_price
