j,beta_raw,se_raw,beta_anchor_units,se_anchor_units,n_train_positive,fit
Other Prepared Meals,0.5596840913340428,0.14537027498882374,0.6845176666908839,0.17779408595369728,3893,fine
Other Vegetables,1.0460440153047148,0.2815277396509925,1.279356729446481,0.34432050944188475,1358,fine
Palm Nut,1.1409719820489754,0.18665596920823252,1.3954577073117038,0.2282882620654778,1433,fine
Pepper,1.2056911540999766,0.1170388862948046,1.4746120326328362,0.14314358152946538,5785,fine
Pepper (dried),0.8375848312972705,0.17701901505862744,1.024402199835069,0.2165018534992255,2178,fine
Pepper (powder),1.8623901519065562,0.21157252051102138,2.2777830940531048,0.2587622737871887,2082,fine
Pineapple,1.029296815083397,0.19544291900236033,1.2588741847456355,0.239035078820747,753,fine
Plantain,1.305390654717675,0.14349697539056216,1.596548801231001,0.1755029601384923,3005,fine
Rice (imported),1.7208455631686432,0.12469374683146091,2.10466798659194,0.15250580453084905,4247,fine
Rice (local),1.0102324922875714,0.1995553735257086,1.2355576996796849,0.24406478721925604,2953,fine
Salmon (smoked),1.210575118573925,0.12240789007720769,1.4805853308159946,0.14971010360591938,4387,fine
Salt,0.817632792502909,0.11182980116840771,1.0,0.13677264683340087,5185,fine
Soft Drinks,1.9074909523529828,0.2503399229443211,2.332943308834077,0.3061764709534084,1565,fine
Soup,0.5191610519345047,0.19514433275678442,0.634956250158787,0.23866989502636676,1854,fine
Spaghetti,1.0703591784939313,0.31281122953218027,1.3090952176922663,0.38258156032931784,330,fine
Sugar (granulated),1.5308099095656391,0.1281301064747669,1.8722462254474619,0.1567086198714456,4746,fine
Sugar Bread,1.2001884960543563,0.13135496991738418,1.4678820456557047,0.16065276628067343,4410,fine
Sweet Pepper,1.9750509167849333,0.30077065269996145,2.4155720451707623,0.3678554180529536,474,fine
Tea,1.9790383461470553,0.3812385313100643,2.4204488424307105,0.4662710874682878,1025,fine
Tilapia,1.4228672528157833,0.3172469214711175,1.7402277230835517,0.3880066019612206,496,fine
Tomato (fresh),1.4413147931536698,0.08941612647988625,1.762789856729654,0.10935976064043215,6699,fine
Tomato (paste),1.6051637731338961,0.09911709992781503,1.9631841920383657,0.12122446755639683,5729,fine
Tuo Zaafi,0.3539184901169944,0.2496198039886031,0.4328575044471877,0.3052957345613251,1019,fine
Water,1.4881461427055485,0.13931359770862803,1.8200666073459302,0.17038650967283994,4679,fine
Watermelon,1.5763339728789667,0.1864492251062423,1.9279241088821157,0.2280354051547889,1006,fine
White Oat,0.8013118600832698,0.1969396675191898,0.9800387991170485,0.2408656665008811,545,fine
Yam,1.2635478210396496,0.10784155913394221,1.5453732196475647,0.13189485564029468,3380,fine
Yoghurt,1.6227739247107766,0.22209538818898827,1.9847221632870151,0.2716321926241701,1439,fine
