j,beta_raw,se_raw,beta_anchor_units,se_anchor_units,n_train_positive,fit
Kenkey/Banku,0.4040009703168896,0.14868852156300863,0.4894519093457181,0.18013788610389408,4836,fine
Mackerel (processed),1.630588514023428,0.21165626187385528,1.975477090859351,0.25642404130336044,1349,fine
Maize (flour/dough),0.7101111678161746,0.11080249334957916,0.8603080004058447,0.13423851900078101,6101,fine
Maize (grain),0.8023711935227449,0.20131155752460878,0.9720821025891782,0.2438913107720843,1989,fine
Malt Drinks (bottle),1.036225013739951,0.20616243611075957,1.255398745921301,0.24976820701848054,1408,fine
Malt Drinks (canned),1.2583975545687565,0.23983937128057767,1.5245633824011415,0.29056820857998755,912,fine
Mango,1.1264865224890603,0.33072499339951567,1.364751621393417,0.40067720471258406,599,fine
Milk (evaporated),1.598349767804684,0.17202061365602095,1.936419472063784,0.20840498906406138,1959,fine
Milk (powder),1.4276974944137442,0.20537268949379436,1.729672243264143,0.24881141973831697,1721,fine
Oil (palm),1.5224775416590095,0.136541259755249,1.8444993810694925,0.165421336090495,3536,fine
Oil (vegetable),2.0439480584307055,0.12772463955565064,2.4762670223729386,0.1547398974115616,4940,fine
Okra,1.1182867975142443,0.12240568439825357,1.3548175585076634,0.14829592091449967,5713,fine
Orange,1.2795239912184038,0.15233799755009106,1.5501583079473116,0.18455926902430578,2212,fine
Other Fish,1.1402495280535123,0.3556017284046607,1.3814256639002283,0.43081566065986837,1219,fine
Other Milk Products,1.0316520869554735,0.29954020261252706,1.249858591539481,0.36289646527211683,439,fine
Other Prepared Meals,0.5604031699809298,0.15804017286784117,0.6789350068526114,0.1914675212359469,3919,fine
Other Vegetables,1.0048468814750124,0.21587924679887158,1.2173837710148545,0.26154023702206414,1619,fine
Palm Nut,1.0147521018801406,0.1733396507107853,1.2293840615982592,0.21000301791148165,1935,fine
Pawpaw,0.5267611961644563,0.22610662588532152,0.6381773613803347,0.2739308266227251,623,fine
Pepper,1.1395208136734711,0.10746530386690305,1.380542817890232,0.13019547483961708,6797,fine
Pepper (dried),0.8632134088576141,0.2506266455254674,1.045793159374801,0.30363711772556645,2210,fine
Pepper (powder),1.5588680881977983,0.1906299435545179,1.8885869546007479,0.23095041028747895,2051,fine
Pineapple,1.1206527625455984,0.22682064176273345,1.3576839528659075,0.2747958652245589,813,fine
Plantain,1.1229325902713096,0.1511270457646068,1.3604459908690671,0.18309218674708755,4074,fine
Rice (imported),1.6317653207253044,0.11782402007038781,1.9769028059676896,0.14274518089648414,4206,fine
Rice (local),1.0177736920050418,0.17647493430310024,1.2330447534395015,0.21380145072067802,3436,fine
Salmon (smoked),1.1418857372934492,0.09970722533927544,1.3834079505663914,0.12079647179954292,4327,fine
Salt,0.8254150461011455,0.09190546888486593,1.0,0.11134455243938446,5116,fine
Soft Drinks,1.705279514386595,0.23486263200758092,2.0659661129773395,0.2845388306367281,1473,fine
Soup,0.5173921014127218,0.20459738771219796,0.6268265933079697,0.2478721325454574,1870,fine
Spaghetti,0.9068234540573538,0.3073437003681242,1.0986272401269417,0.3723504942390675,311,fine
Sugar (granulated),1.4557064017138983,0.1398007390789055,1.7636053626474815,0.16937023348345223,4770,fine
Sugar Bread,1.1576715670958804,0.12430319839523692,1.402532668339584,0.15059478135561505,4440,fine
Sweet Pepper,1.713960170159049,0.3500145723582228,2.0764828291596493,0.4240467556431391,463,fine
Tea,1.8431593328685274,0.31218906952878167,2.233009128649526,0.3782207157519229,972,fine
Tilapia,1.0711881275563642,0.2692254619779121,1.297756967983719,0.3261698017859024,492,fine
Tomato (fresh),1.3159636587996344,0.07654839336426073,1.5943053921970518,0.09273927550247317,6928,fine
Tomato (paste),1.4448445864561492,0.0927272608759301,1.750446146191403,0.11234016306575469,5711,fine
Tuo Zaafi,0.36844219227824787,0.24620953831216805,0.44637203309848483,0.2982857405800158,1067,fine
Water,1.3240770860797553,0.13307659500962274,1.604134904414505,0.16122385415459906,4683,fine
Watermelon,1.4054044976973923,0.21651846803265176,1.7026640165282079,0.26231466103674567,994,fine
White Oat,1.0137039150107154,0.246733735968585,1.2281141709240144,0.29892081218295424,499,fine
Yam,1.0838320933035168,0.11743757383254784,1.3130752806397294,0.14227699675122854,4370,fine
Yoghurt,1.5837653325604808,0.20625245865287253,1.9187502578750035,0.24987727038307292,1446,fine
