Preferred Label,Aggregate Label,status,reason,evidence,group_id,in_country_preferred,declared_waves,source_rows,country_crosswalk_targets,delivered_waves
Beer,Beer/Pito,draft_merge,#935 gave Pito (sorghum beer) its own label (@ligon: keep distinct from beer); it was Beer in 91/98/16 and Wine in 05/12. The candidate tests whether the Aggregate axis should re-join them.,slurm_logs/ghanalss_aggregate_labels/LANDED.org: Pito given its own PL,beer_pito,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1991-92/Code_9b: 99.0; 1991-92/Label_9b: Local and Imported Beer and Guinness; 1998-99/Code_9b: 99.0; 1998-99/Label_9b: Local and Imported Beer and Guinness; 2005-06/Code_9b: 157.0, 158.0, 159.0; 2005-06/Label_9b: beer (imported), beer (local), guinness & other stout; 2012-13/Code_9b: 157.0, 158.0, 159.0; 2012-13/Label_9b: beer (imported), beer (local), guinness & other stout; 2016-17/Code_9b: 635.0, 636.0, 637.0; 2016-17/Label_9b: Beer (Imported), Dark beer (e.g. Guilder, Guinness), National beer (star/club)",Beer,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Biscuit,Biscuit,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1987-88/Code_12A: 309; 1987-88/Label_12A: Biscuits and cakes; 1987-88/Code_12B: 309.0; 1987-88/Label_12B: Biscuits and cakes; 1988-89/Code_12A: 309; 1988-89/Label_12A: Biscuits and cakes; 1988-89/Code_12B: 309.0; 1988-89/Label_12B: Biscuits and cakes; 1991-92/Code_9b: 7.0; 1991-92/Label_9b: Biscuits; 1998-99/Code_9b: 7.0; 1998-99/Label_9b: Biscuits; 2005-06/Code_9b: 9.0; 2005-06/Label_9b: biscuits; 2012-13/Code_9b: 9.0; 2012-13/Label_9b: biscuits; 2016-17/Code_9b: 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0; 2016-17/Label_9b: Cream crackers, Digestive biscuit, Ginger, Jack and Jill, Kings crackers, Malt and milk, Other biscuits, Perks biscuit, Picadilly biscuit, Short Bread, Short cake, Wafers",Biscuit,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Bitters,Bitters,singleton,No merge proposed at this stage.,,,True,2016-17,"2016-17/Code_9b: 621.0; 2016-17/Label_9b: Bitters (eg. Alomo, Agya Appiah, HerbAfric etc.)",Bitters,2016-17
Bread,Bread (including sugar bread),draft_merge,Sugar bread is a bread type;,"PR #937 additional_candidates.yml: bread_types; slurm_logs/ghanalss_aggregate_labels/LANDED.org: Gaps filled, Sugar Bread",bread_types,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1991-92/Code_9b: 6.0; 1991-92/Label_9b: Bread, buns; 1998-99/Code_9b: 6.0; 1998-99/Label_9b: Bread, buns; 2005-06/Code_9b: 8.0; 2005-06/Label_9b: other bread; 2012-13/Code_9b: 8.0; 2012-13/Label_9b: other bread; 2016-17/Code_9b: 59.0, 60.0, 61.0, 62.0; 2016-17/Label_9b: Butter bread, Other bread, Tea bread, Whole wheat bread",Bread,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Broad Bean,Broad Bean,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 20.0; 1991-92/Label_9b: Broad beans; 1998-99/Code_9b: 20.0; 1998-99/Label_9b: Broad beans,Broad Bean,1991-92; 1998-99
Cabbage,Cabbage,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1987-88/Code_12A: 351; 1987-88/Label_12A: Cabbage or lettuce; 1987-88/Code_12B: 351.0; 1987-88/Label_12B: Cabbage or lettuce; 1988-89/Code_12A: 351; 1988-89/Label_12A: Cabbage or lettuce; 1988-89/Code_12B: 351.0; 1988-89/Label_12B: Cabbage or lettuce; 1991-92/Code_8h: 46.0; 1991-92/Label_8h: Cabbage or Lettuce; 1998-99/Code_8h: 46.0; 1998-99/Label_8h: Cabbage/Lettuce; 2005-06/Code_8h: 56.0; 2005-06/Label_8h: cabbage/lettuce; 2012-13/Code_8h: 56.0; 2012-13/Label_8h: cabbage/lettuce; 2016-17/Code_8h: 56.0; 2016-17/Label_8h: 56. Cabbage/lettuce,Cabbage,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Canned Fruits,Canned Fruits,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 41.0; 1991-92/Label_9b: Fruit canned; 1998-99/Code_9b: 41.0; 1998-99/Label_9b: Fruit canned; 2005-06/Code_9b: 75.0; 2005-06/Label_9b: canned or processed fruits; 2012-13/Code_9b: 75.0; 2012-13/Label_9b: canned or processed fruits; 2016-17/Code_9b: 452.0; 2016-17/Label_9b: Canned or processed fruits,Canned Fruits,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Carrot,Carrot,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_8h: 42.0; 1991-92/Label_8h: Carrots; 1998-99/Code_8h: 42.0; 1998-99/Label_8h: Carrots; 2005-06/Code_9b: 83.0; 2005-06/Label_9b: carrots; 2005-06/Code_8h: 52.0; 2005-06/Label_8h: carrots; 2012-13/Code_9b: 83.0; 2012-13/Label_9b: carrots; 2012-13/Code_8h: 52.0; 2012-13/Label_8h: carrots; 2016-17/Code_9b: 455.0; 2016-17/Label_9b: Carrot; 2016-17/Code_8h: 52.0; 2016-17/Label_8h: 52. Carrots,Carrot,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Cashew,Cashew,singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 444.0; 2016-17/Label_9b: Cashew,Cashew,2016-17
Cassava,Cassava,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 9.0; 1991-92/Label_9b: Cassava; 1991-92/Code_8h: 10.0; 1991-92/Label_8h: Cassava –roots; 1998-99/Code_9b: 9.0; 1998-99/Label_9b: Cassava; 1998-99/Code_8h: 10.0; 1998-99/Label_8h: Cassava –roots,Cassava,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Cassava (dough),Cassava (dough),singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1987-88/Code_12A: 307; 1987-88/Label_12A: Cassava in a form other than garri (achiekie, tapioca, dough, etc.); 1987-88/Code_12B: 307.0; 1987-88/Label_12B: Cassava in a form other than garri (achiekie, tapioca, dough, etc.); 1988-89/Code_12A: 307; 1988-89/Label_12A: Cassava in a form other than garri (achiekie, tapioca, dough, etc.); 1988-89/Code_12B: 307.0; 1988-89/Label_12B: Cassava in a form other than garri (achiekie, tapioca, dough, etc.); 1991-92/Code_9b: 16.0; 1991-92/Label_9b: Cassava dough; 1991-92/Code_8h: 12.0; 1991-92/Label_8h: Cassava (other forms); 1998-99/Code_9b: 16.0; 1998-99/Label_9b: Cassava dough; 1998-99/Code_8h: 12.0; 1998-99/Label_8h: Cassava (other forms); 2005-06/Code_9b: 123.0; 2005-06/Label_9b: cassava-dough; 2005-06/Code_8h: 12.0; 2005-06/Label_8h: cassava(other forms); 2012-13/Code_9b: 123.0; 2012-13/Label_9b: cassava-dough; 2012-13/Code_8h: 12.0; 2012-13/Label_8h: cassava(other forms); 2016-17/Code_9b: 54.0; 2016-17/Label_9b: Cassava dough; 2016-17/Code_8h: 12.0; 2016-17/Label_8h: 12. Cassava(other forms)",Cassava (dough),1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Cassava (dried),Cassava (dried),singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 53.0; 2016-17/Label_9b: Cassava - Kokonte,Cassava (dried),2016-17
Cerelac (Baby food),Cerelac (Baby food),singleton,No merge proposed at this stage.,,,True,2005-06; 2012-13; 2016-17,"2005-06/Code_9b: 13.0; 2005-06/Label_9b: baby food (cerelac,etc); 2012-13/Code_9b: 13.0; 2012-13/Label_9b: baby food (cerelac,etc); 2016-17/Code_9b: 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0; 2016-17/Label_9b: Beans, Maize, Millet, Mixed fruit, Other, Rice, Wheat",Cerelac (Baby food),2005-06; 2012-13; 2016-17
Chewing Gum,Chewing Gum,singleton,No merge proposed at this stage.,,,True,2016-17,"2016-17/Code_9b: 513.0, 514.0, 515.0, 516.0, 517.0, 518.0; 2016-17/Label_9b: Bubble gum, Mentos, Other confectionery, Other gums, PK, Trident",Chewing Gum,2016-17
Chicken,Chicken,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99,1987-88/Code_12A: 319; 1987-88/Label_12A: Chicken; 1987-88/Code_12B: 319.0; 1987-88/Label_12B: Chicken; 1988-89/Code_12A: 319; 1988-89/Label_12A: Chicken; 1988-89/Code_12B: 319.0; 1988-89/Label_12B: Chicken; 1991-92/Code_9b: 60.0; 1991-92/Label_9b: Chicken; 1991-92/Code_8h: 60.0; 1991-92/Label_8h: Chicken; 1998-99/Code_9b: 60.0; 1998-99/Label_9b: Chicken; 1998-99/Code_8h: 60.0; 1998-99/Label_8h: Chicken,Chicken,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Chicken (breast),Chicken (breast),singleton,No merge proposed at this stage.,,,True,2016-17,"2016-17/Code_9b: 124.0, 125.0; 2016-17/Label_9b: chicken breast with skin and bones, chicken breast without skin",Chicken (breast),2016-17
Chicken (frozen),Chicken (frozen),singleton,Source says Other chicken product; do not infer a pure frozen-food category.,,,True,2016-17,2016-17/Code_9b: 126.0; 2016-17/Label_9b: Other chicken product,Chicken (frozen),2016-17
Chicken (gizzard),Chicken (gizzard),singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 123.0; 2016-17/Label_9b: Gizzard,Chicken (gizzard),2016-17
Chicken (live),Chicken (live),singleton,No merge proposed at this stage.,,,True,2005-06; 2012-13; 2016-17,"2005-06/Code_9b: 27.0; 2005-06/Label_9b: chicken; 2005-06/Code_8h: 60.0; 2005-06/Label_8h: chicken; 2012-13/Code_9b: 27.0; 2012-13/Label_9b: chicken; 2012-13/Code_8h: 60.0; 2012-13/Label_8h: chicken; 2016-17/Code_9b: 118.0, 119.0; 2016-17/Label_9b: Local breed, Poultry farm breed; 2016-17/Code_8h: 63.0; 2016-17/Label_8h: 63. Chicken",Chicken; Chicken (live),2016-17
Chicken (thigh),Chicken (thigh),singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 121.0; 2016-17/Label_9b: Chicken parts(thighs),Chicken (thigh),2016-17
Chicken (wing),Chicken (wing),singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 122.0; 2016-17/Label_9b: Chicken parts(wings),Chicken (wing),2016-17
Chilli Powder (black pepper),Chilli Powder (black pepper),singleton,No merge proposed at this stage.,,,True,2005-06; 2012-13; 2016-17,2005-06/Code_9b: 100.0; 2005-06/Label_9b: black pepper; 2012-13/Code_9b: 100.0; 2012-13/Label_9b: black pepper; 2016-17/Code_9b: 528.0; 2016-17/Label_9b: Chilli powder (black pepper),Chilli Powder (black pepper),2005-06; 2012-13; 2016-17
Chocolate,Chocolate,singleton,No merge proposed at this stage.,,,True,2005-06; 2012-13; 2016-17,"2005-06/Code_9b: 95.0; 2005-06/Label_9b: chocolate; 2012-13/Code_9b: 95.0; 2012-13/Label_9b: chocolate; 2016-17/Code_9b: 511.0, 512.0; 2016-17/Label_9b: Golden tree, Other cholate",Chocolate,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Cigarette,Cigarette,nonfood_singleton,Excluded from food support profiles.,Delivered item label.,,True,1991-92; 1998-99; 2016-17,1991-92/Code_9b: 105.0; 1991-92/Label_9b: Cigarette; 1998-99/Code_9b: 105.0; 1998-99/Label_9b: Cigarette; 2016-17/Code_9b: 645.0; 2016-17/Label_9b: Cigarette,Cigarette,1991-92; 1998-99; 2005-06; 2016-17
Cocoa (milk powder beverages),Cocoa Powder,draft_merge,"#935 split the malted-drink group (Milo, Richoco, This Way; 2016-17 codes 556-560 less the two milk products moved out) from pure cocoa powder. Same FCT family (13_028 Ovaltine) before the split.",slurm_logs/ghanalss_aggregate_labels/TABLE_AUDIT.org: Issue 1 and Issue 3,cocoa_forms,True,2016-17,"2016-17/Code_9b: 554.0, 555.0, 556.0, 559.0, 560.0; 2016-17/Label_9b: Bournvita, Cow bell (coffee, choco etc.), Milo, Richoco, This way chocolate drink",Cocoa (milk powder beverages),2016-17
Cocoa Powder,Cocoa Powder,draft_merge,"#935 split the malted-drink group (Milo, Richoco, This Way; 2016-17 codes 556-560 less the two milk products moved out) from pure cocoa powder. Same FCT family (13_028 Ovaltine) before the split.",slurm_logs/ghanalss_aggregate_labels/TABLE_AUDIT.org: Issue 1 and Issue 3,cocoa_forms,True,2005-06; 2012-13; 2016-17,"2005-06/Code_9b: 130.0; 2005-06/Label_9b: chocolate drinks (including milo,bournvita etc); 2012-13/Code_9b: 130.0; 2012-13/Label_9b: chocolate drinks (including milo,bournvita etc); 2016-17/Code_9b: 551.0; 2016-17/Label_9b: Pure Cocoa Powder (eg. Brown gold)",Cocoa Powder,2005-06; 2012-13; 2016-17
Coconut (dried),Coconut (fresh/dried),draft_merge,"Two forms of one food; dried coconut is a 2016-17-only, very sparse label.",PR #937 additional_candidates.yml: coconut_forms (unchanged by #935),coconut_forms,True,2016-17,2016-17/Code_9b: 433.0; 2016-17/Label_9b: Coconut (dried),Coconut (dried),2016-17
Coconut (fresh),Coconut (fresh/dried),draft_merge,"Two forms of one food; dried coconut is a 2016-17-only, very sparse label.",PR #937 additional_candidates.yml: coconut_forms (unchanged by #935),coconut_forms,True,2005-06; 2012-13; 2016-17,2005-06/Code_9b: 68.0; 2005-06/Label_9b: coconut; 2005-06/Code_8h: 26.0; 2005-06/Label_8h: coconut; 2012-13/Code_9b: 68.0; 2012-13/Label_9b: coconut; 2012-13/Code_8h: 26.0; 2012-13/Label_8h: coconut; 2016-17/Code_9b: 432.0; 2016-17/Label_9b: Coconut (fresh); 2016-17/Code_8h: 26.0; 2016-17/Label_8h: 26. Coconut,Coconut (fresh),1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Cocoyam,Cocoyam,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1987-88/Code_12A: 311; 1987-88/Label_12A: Cocoyams; 1987-88/Code_12B: 311.0; 1987-88/Label_12B: Cocoyams; 1988-89/Code_12A: 311; 1988-89/Label_12A: Cocoyams; 1988-89/Code_12B: 311.0; 1988-89/Label_12B: Cocoyams; 1991-92/Code_9b: 10.0; 1991-92/Label_9b: Cocoyam; 1991-92/Code_8h: 14.0; 1991-92/Label_8h: Cocoyams; 1998-99/Code_9b: 10.0; 1998-99/Label_9b: Cocoyam; 1998-99/Code_8h: 14.0; 1998-99/Label_8h: Cocoyams; 2005-06/Code_9b: 108.0; 2005-06/Label_9b: cocoyam; 2005-06/Code_8h: 14.0; 2005-06/Label_8h: cocoyam; 2012-13/Code_9b: 108.0; 2012-13/Label_9b: cocoyam; 2012-13/Code_8h: 14.0; 2012-13/Label_8h: cocoyam; 2016-17/Code_9b: 493.0; 2016-17/Label_9b: Cocoyam; 2016-17/Code_8h: 14.0; 2016-17/Label_8h: 14. Cocoyam,Cocoyam,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Cocoyam Leaves,Cocoyam Leaves,singleton,No merge proposed at this stage.,,,True,1991-92; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 43.0; 1991-92/Label_9b: Cocoyam leaves (kontomire); 2005-06/Code_9b: 80.0; 2005-06/Label_9b: cocoyam leaves (kontomire); 2012-13/Code_9b: 80.0; 2012-13/Label_9b: cocoyam leaves (kontomire); 2016-17/Code_9b: 453.0; 2016-17/Label_9b: Cocoyam leaves (kontomire) or Alefu,Cocoyam Leaves,1991-92; 2005-06; 2012-13; 2016-17
Coffee,Coffee,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 82.0; 1991-92/Label_9b: Coffee; 1998-99/Code_9b: 82.0; 1998-99/Label_9b: Coffee; 2005-06/Code_9b: 129.0; 2005-06/Label_9b: coffee; 2012-13/Code_9b: 129.0; 2012-13/Label_9b: coffee; 2016-17/Code_9b: 550.0; 2016-17/Label_9b: Nescafe,Coffee,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Condiment,Condiment,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 2005-06; 2012-13; 2016-17,"1987-88/Code_12A: 343; 1987-88/Label_12A: Maggi cubes; 1988-89/Code_12A: 343; 1988-89/Label_12A: Maggi cubes; 2005-06/Code_9b: 103.0; 2005-06/Label_9b: other condiments (royco,maggie,etc); 2012-13/Code_9b: 104.0; 2012-13/Label_9b: other condiments (royco,maggie,etc); 2016-17/Code_9b: 535.0, 536.0, 537.0, 538.0, 539.0, 540.0; 2016-17/Label_9b: Benny, Maggi Cube, Onga 3-in-1, Onga cube, Other condiments, Royco cube",Condiment,1987-88; 1988-89; 2005-06; 2012-13; 2016-17
Confectionary (not frozen),Confectionary (not frozen),singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 95.0; 1991-92/Label_9b: Confectionary not Frozen; 1998-99/Code_9b: 95.0; 1998-99/Label_9b: Confectionary not Frozen,Confectionary (not frozen),1991-92; 1998-99
Cooked Rice and Stew,Cooked Rice and Stew,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1991-92/Code_9b: 86.0; 1991-92/Label_9b: Cooked Rice and Stew; 1998-99/Code_9b: 86.0; 1998-99/Label_9b: Cooked Rice and Stew; 2005-06/Code_9b: 254.0, 262.0; 2005-06/Label_9b: cooked rice and sauce; 2012-13/Code_9b: 254.0, 262.0; 2012-13/Label_9b: cooked rice and sauce; 2016-17/Code_9b: 909.0, 915.0; 2016-17/Label_9b: Cooked rice and stew",Cooked Rice and Stew,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Corflake,Corflake,singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 84.0; 2016-17/Label_9b: Cornflakes (Kellogg's),Corflake,2016-17
Couscous,Couscous,singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 88.0; 2016-17/Label_9b: Couscous,Couscous,2016-17
Cowpea,Cowpea,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_8h: 22.0; 1991-92/Label_8h: Cowpeas; 1998-99/Code_8h: 22.0; 1998-99/Label_8h: Cowpeas; 2005-06/Code_8h: 21.0; 2005-06/Label_8h: cowpeas; 2012-13/Code_8h: 21.0; 2012-13/Label_8h: cowpeas; 2016-17/Code_9b: 485.0; 2016-17/Label_9b: White beans (cowpea); 2016-17/Code_8h: 21.0; 2016-17/Label_8h: 21. Cowpeas,Cowpea,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Crab,Crab and shrimp,draft_merge,Named 2016-17 crustaceans; the historical broad Crustacean label stays separate.,PR #937 additional_candidates.yml: crab_shrimp (unchanged by #935),crab_shrimp,True,2016-17,2016-17/Code_9b: 152.0; 2016-17/Label_9b: Crab,Crab,2016-17
Crustacean,Crustacean,singleton,No merge proposed at this stage.,,,True,,,,1991-92; 1998-99; 2005-06; 2012-13
Curry Power,Curry Power,singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 527.0; 2016-17/Label_9b: Curry powder,Curry Power,2016-17
