country,wave,recall_verbatim,recall_days,n_visits,total_exposure_days,n_items_delivered,basis,evidence,within_wave_variation,notes
Serbia,2007,LSMS 7-day food-consumption diary (days 1-7 summed),7,1,7,100,config-comment,"lsms_library/countries/Serbia/2007/_/food_acquired.py:4,32; Serbia/_/data_scheme.yml:38",,"DIARY, not recall: elicitation mode differs from every other cell here"
Tanzania,2008-09,consumed at home during the last week,7,1,7,59,config-comment,lsms_library/countries/Tanzania/_/food_prices_quantities_and_expenditures.py:18; _/demands.org:844,,"informal aside, never asserted against the instrument"
Tanzania,2010-11,consumed at home during the last week,7,1,7,59,config-comment,lsms_library/countries/Tanzania/_/food_prices_quantities_and_expenditures.py:18; _/demands.org:844,,"informal aside, never asserted against the instrument"
Tanzania,2012-13,consumed at home during the last week,7,1,7,59,config-comment,lsms_library/countries/Tanzania/_/food_prices_quantities_and_expenditures.py:18; _/demands.org:844,,"informal aside, never asserted against the instrument"
Tanzania,2014-15,consumed at home during the last week,7,1,7,60,config-comment,lsms_library/countries/Tanzania/_/food_prices_quantities_and_expenditures.py:18; _/demands.org:844,,"informal aside, never asserted against the instrument"
Tanzania,2019-20,consumed at home during the last week,7,1,7,59,config-comment,lsms_library/countries/Tanzania/_/food_prices_quantities_and_expenditures.py:18; _/demands.org:844,,"informal aside, never asserted against the instrument"
Tanzania,2020-21,consumed at home during the last week,7,1,7,57,config-comment,lsms_library/countries/Tanzania/_/food_prices_quantities_and_expenditures.py:18; _/demands.org:844,,"informal aside, never asserted against the instrument"
Togo,2018,total quantity of [XX] consumed in the past 7 days,7,1,7,,questionnaire,lsms_library/countries/Togo/2018/_/food_expenditures.py:15,,
Uganda,2005-06,,,,,61,not-recorded,,,"CONTENTS [RECALL] discussion is GSEC15C non-food, not the GSEC15B food module"
Uganda,2009-10,,,,,63,not-recorded,,,"CONTENTS [RECALL] discussion is GSEC15C non-food, not the GSEC15B food module"
Uganda,2010-11,,,,,70,not-recorded,,,"CONTENTS [RECALL] discussion is GSEC15C non-food, not the GSEC15B food module"
Uganda,2011-12,,,,,71,not-recorded,,,"CONTENTS [RECALL] discussion is GSEC15C non-food, not the GSEC15B food module"
Uganda,2013-14,,,,,77,not-recorded,,,"CONTENTS [RECALL] discussion is GSEC15C non-food, not the GSEC15B food module"
Uganda,2015-16,,,,,77,not-recorded,,,"CONTENTS [RECALL] discussion is GSEC15C non-food, not the GSEC15B food module"
Uganda,2018-19,,,,,117,not-recorded,,,"CONTENTS [RECALL] discussion is GSEC15C non-food, not the GSEC15B food module"
Uganda,2019-20,,,,,116,not-recorded,,,"CONTENTS [RECALL] discussion is GSEC15C non-food, not the GSEC15B food module"
