Code,Proposed_Label,Source_Label,Source_Wave,Physical,Canonical_Equivalent,Raw_Rows,Rationale
165088,Piece (Medium),Piece/Unit (medium),2011-12,True,88,0,Existing canonical code 88; same native unit and relative size.
165089,Piece (Small),Piece/Unit (small),2011-12,True,89,0,Existing canonical code 89; same native unit and relative size.
166087,Piece (Big),Piece/Unit (Big),2011-12,True,87,0,Existing canonical code 87; same native unit and relative size.
166088,Piece (Medium),Piece/Unit (medium),2011-12,True,88,0,Existing canonical code 88; same native unit and relative size.
166089,Piece (Small),Piece/Unit (small),2011-12,True,89,0,Existing canonical code 89; same native unit and relative size.
167087,Piece (Big),Piece/Unit (Big),2011-12,True,87,0,Existing canonical code 87; same native unit and relative size.
167088,Piece (Medium),Piece/Unit (medium),2011-12,True,88,0,Existing canonical code 88; same native unit and relative size.
167089,Piece (Small),Piece/Unit (small),2011-12,True,89,0,Existing canonical code 89; same native unit and relative size.
167090,Heap (Big),Heap - Big,2011-12,True,90,0,Existing canonical code 90; same native unit and relative size.
167091,Heap (Medium),Heap - medium,2011-12,True,91,0,Existing canonical code 91; same native unit and relative size.
167092,Heap (Small),Heap - small,2011-12,True,92,0,Existing canonical code 92; same native unit and relative size.
168087,Piece (Big),Piece/Unit (Big),2011-12,True,87,0,Existing canonical code 87; same native unit and relative size.
168088,Piece (Medium),Piece/Unit (medium),2011-12,True,88,0,Existing canonical code 88; same native unit and relative size.
168089,Piece (Small),Piece/Unit (small),2011-12,True,89,0,Existing canonical code 89; same native unit and relative size.
168090,Heap (Big),Heap - Big,2011-12,True,90,0,Existing canonical code 90; same native unit and relative size.
168091,Heap (Medium),Heap -  medium,2011-12,True,91,0,Existing canonical code 91; same native unit and relative size.
168092,Heap (Small),Heap - small,2011-12,True,92,0,Existing canonical code 92; same native unit and relative size.
169087,Piece (Big),Piece/Unit (Big),2011-12,True,87,0,Existing canonical code 87; same native unit and relative size.
169088,Piece (Medium),Piece/Unit (medium),2011-12,True,88,0,Existing canonical code 88; same native unit and relative size.
169089,Piece (Small),Piece/Unit (small),2011-12,True,89,0,Existing canonical code 89; same native unit and relative size.
170087,Piece (Big),Piece/Unit (Big),2011-12,True,87,0,Existing canonical code 87; same native unit and relative size.
170088,Piece (Medium),Piece/Unit (medium),2011-12,True,88,0,Existing canonical code 88; same native unit and relative size.
170089,Piece (Small),Piece/Unit (small),2011-12,True,89,0,Existing canonical code 89; same native unit and relative size.
171087,Piece (Big),Piece/Unit (Big),2011-12,True,87,0,Existing canonical code 87; same native unit and relative size.
171088,Piece (Medium),Piece/Unit (medium),2011-12,True,88,0,Existing canonical code 88; same native unit and relative size.
171089,Piece (Small),Piece/Unit (small),2011-12,True,89,0,Existing canonical code 89; same native unit and relative size.
807087,Piece (Big),Piece/unit-Big,2011-12,True,87,0,Existing canonical code 87; same native unit and relative size.
807089,Piece (Small),Piece/unit-small,2011-12,True,89,0,Existing canonical code 89; same native unit and relative size.
136,136,,,False,,12,No unit label in any wave codebook; explicit accepted code residual.
156087,156087,,,False,,3,No unit label in any wave codebook; explicit accepted code residual.
139093,139093,,,False,,3,No unit label in any wave codebook; explicit accepted code residual.
142092,142092,,,False,,2,No unit label in any wave codebook; explicit accepted code residual.
156096,156096,,,False,,1,No unit label in any wave codebook; explicit accepted code residual.
156090,156090,,,False,,1,No unit label in any wave codebook; explicit accepted code residual.
181087,181087,,,False,,1,No unit label in any wave codebook; explicit accepted code residual.
142090,142090,,,False,,1,No unit label in any wave codebook; explicit accepted code residual.
