,0
105091,Heap - Medium
105092,Heap - Small
107087,Piece/Unit-Big
107088,Piece/Unit-medium
107089,Piece/Unit-small
107090,Heap - Big
107091,Heap - medium
107092,Heap - small
109087,Piece/Unit - Big
109088,Piece/Unit - medium
109089,Piece/Unit - small
109090,Heap -big
109092,Heap -small
111087,Piece/Unit-Big
111088,Piece/Unit-medium
111089,Piece/Unit- small
111090,Heap - Big
113087,Piece/Unit -Big
113088,Piece/Unit -medium
113089,Piece/Unit -small
114087,Piece/Unit-Big (1kg)
114089,piece/Unit - small (0.5kg)
121087,Piece/unit-Big
121089,Piece/unit-small
122055,Whole fish(small)
122056,Whole fish(medium)
122057,Whole fish(large)
123055,Whole fish(small)
123056,Whole fish(medium)
123057,Whole fish(Large)
123058,Cut piece(up to 1kg)-small
123059,Cut piece(1 to 2 kg)-medium
123060,Cut piece(above 2kg)-Big
123090,Heap - Big
123091,Heap -medium
123092,Heap -small
124088,piece/unit
125050,Packet(1lt/1kg)
125051,Packet(1/2lt / 1/2kg)
125052,Packet(1/4lt / 1/4kg)
128004,Bottle(350g)
128005,Bottle(500g)
128051,Packet -Big (1/2kg)
128052,Packet -medium (1/4kg)
128053,Packet -small (100g)
129001,Margarine-1kg(Big)
129002,Margarine-0.5kg(medium)
129003,Margarine-0.25kg(small)
129004,Margarine-0.125kg(smallest)
130090,Heap - Big
130091,Heap - Medium
130092,Heap - small
131093,Cluster - Big
131094,Cluster - medium
131095,Cluster - small
132087,Piece/Unit (Big)
132088,Piece/Unit (medium)
132089,Piece/Unit (small)
133087,Piece/Unit (Big)
133088,Piece/Unit (medium)
133089,Piece/Unit (small)
133090,Heap - Big
133092,Heap - small
135087,Piece/Unit (Big)
135088,Piece/Unit (medium)
135089,Piece/Unit (small)
135090,Heap - big
135091,Heap - medium
135092,Heap - small
135096,Bundle (Big)
135097,Bundle - medium
135098,Bundle (small)
136087,Piece/Unit (Big)
136088,Piece/Unit (medium)
136089,Piece/Unit (small)
136090,Heap - Big
136091,Heap - medium
136092,Heap - small
137087,Piece/Unit (Big)
137088,Piece/Unit (medium)
137089,Piece/Unit (small)
138096,Bundle - Big
138097,Bundle - medium
138098,Bundle - small
151024,soda-500ml
151026,Soda-300ml
152024,Beer-500ml
153001,Other alcoholic drinks
154001,Other drinks
155054,Cigarettes ( stick)
155099,Packet(20 sticks)
157001,Food-plate
158024,soda-500ml
158026,Soda-300ml
159024,Beer-500ml
160001,Other Juice
161001,Other foods - plate
164087,Piece/Unit (Big)
164088,Piece/Unit (medium)
164089,Piece/Unit (small)
165087,Piece/Unit (Big)
165088,Piece/Unit (medium)
165089,Piece/Unit (small)
166087,Piece/Unit (Big)
166088,Piece/Unit (medium)
166089,Piece/Unit (small)
167087,Piece/Unit (Big)
167088,Piece/Unit (medium)
167089,Piece/Unit (small)
167090,Heap - Big
167091,Heap - medium
167092,Heap - small
168087,Piece/Unit (Big)
168088,Piece/Unit (medium)
168089,Piece/Unit (small)
168090,Heap - Big
168091,Heap -  medium
168092,Heap - small
169087,Piece/Unit (Big)
169088,Piece/Unit (medium)
169089,Piece/Unit (small)
170087,Piece/Unit (Big)
170088,Piece/Unit (medium)
170089,Piece/Unit (small)
171087,Piece/Unit (Big)
171088,Piece/Unit (medium)
171089,Piece/Unit (small)
807087,Piece/unit-Big
807089,Piece/unit-small
56,       Fish  Whole (medium)  
57,       Fish   Whole  (Big)     
55,       Fish Whole(small)
